[1.0048381] [1.78730159] [2.6151511] [3.4937346] [4.37793703] [5.28929302] [6.21657037] [7.2356798] [8.40600005] [9.65240819] [10.97338864] [12.48467804] [14.90365367] [18.20875537] [23.26978167] [28.99620365] [38.28151638] [54.15364787] [85.14214996] [130.60275954] [2.69064607] 
[0.95459619] [1.69793651] [2.48439355] [3.31904787] [4.15904018] [5.02482837] [5.90574185] [6.87389581] [7.98570005] [9.16978778] [10.42471921] [11.86044414] [14.15847098] [17.29831761] [22.10629259] [27.54639347] [36.36744057] [51.44596547] [80.88504246] [124.07262156] [2.55611376] 
[0.90686638] [1.61303968] [2.36017387] [3.15309547] [3.95108817] [4.77358695] [5.61045476] [6.53020102] [7.58641505] [8.71129839] [9.90348325] [11.26742193] [13.45054743] [16.43340173] [21.00097796] [26.16907379] [34.54906854] [48.8736672] [76.84079034] [117.86899048] [2.42830808] 
[0.86152306] [1.5323877] [2.24216518] [2.9954407] [3.75353376] [4.5349076] [5.32993202] [6.20369097] [7.2070943] [8.27573347] [9.40830909] [10.70405083] [12.77802006] [15.61173164] [19.95092906] [24.8606201] [32.82161511] [46.42998384] [72.99875082] [111.97554096] [2.30689267] 
[0.81844691] [1.45576831] [2.13005692] [2.84566866] [3.56585707] [4.30816222] [5.06343542] [5.89350642] [6.84673958] [7.86194679] [8.93789363] [10.16884829] [12.13911906] [14.83114506] [18.95338261] [23.6175891] [31.18053435] [44.10848465] [69.34881328] [106.37676391] [2.19154804] 
[0.77752457] [1.3829799] [2.02355407] [2.70338523] [3.38756422] [4.09275411] [4.81026365] [5.5988311] [6.5044026] [7.46884945] [8.49099895] [9.66040588] [11.53216311] [14.0895878] [18.00571348] [22.43670964] [29.62150764] [41.90306042] [65.88137262] [101.05792572] [2.08197064] 
[0.73864834] [1.3138309] [1.92237637] [2.56821597] [3.21818601] [3.88811641] [4.56975046] [5.31888954] [6.17918247] [7.09540698] [8.066449] [9.17738558] [10.95555495] [13.38510841] [17.1054278] [21.31487416] [28.14043226] [39.8079074] [62.58730399] [96.00502943] [1.97787211] 
[0.70171592] [1.24813936] [1.82625755] [2.43980517] [3.05727671] [3.69371059] [4.34126294] [5.05294507] [5.87022335] [6.74063663] [7.66312655] [8.7185163] [10.4077772] [12.71585299] [16.25015641] [20.24913045] [26.73341064] [37.81751203] [59.45793879] [91.20477796] [1.8789785] 
[0.66663012] [1.18573239] [1.73494467] [2.31781491] [2.90441287] [3.50902506] [4.12419979] [4.80029781] [5.57671218] [6.4036048] [7.27997023] [8.28259049] [9.88738834] [12.08006034] [15.43764859] [19.23667393] [25.39674011] [35.92663642] [56.48504185] [86.64453906] [1.78502958] 
[0.63329862] [1.12644577] [1.64819744] [2.20192417] [2.75919223] [3.3335738] [3.9179898] [4.56028292] [5.29787657] [6.08342456] [6.91597171] [7.86846096] [9.39301893] [11.47605733] [14.66576616] [18.27484023] [24.1269031] [34.1303046] [53.66078976] [82.31231211] [1.6957781] 
