Iteration: 464
[0.73044961] [1.3809031] [2.01706769] [2.68529087] [3.36515728] [4.38013524] [5.60783623] [6.44428958] [7.31301554] [8.35505677] [9.65861871] [10.9650836] [13.15949384] [16.51857543] [20.13417932] [26.23615515] [38.08932464] [66.50918886] [96.84972926] [136.37098574] [3.17701449] 
[0.69392713] [1.31185795] [1.91621431] [2.55102632] [3.19689942] [4.16112847] [5.32744442] [6.1220751] [6.94736477] [7.93730394] [9.17568777] [10.41682942] [12.50151914] [15.69264666] [19.12747036] [24.92434739] [36.1848584] [63.18372942] [92.00724279] [129.55243646] [3.01816376] 
[0.65923078] [1.24626505] [1.82040359] [2.42347501] [3.03705445] [3.95307205] [5.0610722] [5.81597135] [6.59999653] [7.54043874] [8.71690339] [9.89598795] [11.87644319] [14.90801433] [18.17109684] [23.67813002] [34.37561548] [60.02454295] [87.40688065] [123.07481463] [2.86725558] 
[0.62626924] [1.1839518] [1.72938341] [2.30230126] [2.88520172] [3.75541845] [4.80801859] [5.52517278] [6.2699967] [7.1634168] [8.28105822] [9.40118855] [11.28262103] [14.16261361] [17.262542] [22.49422352] [32.65683471] [57.0233158] [83.03653662] [116.9210739] [2.7238928] 
[0.59495577] [1.12475421] [1.64291424] [2.18718619] [2.74094164] [3.56764753] [4.56761766] [5.24891414] [5.95649687] [6.80524596] [7.86700531] [8.93112912] [10.71848998] [13.45448293] [16.3994149] [21.36951234] [31.02399297] [54.17215001] [78.88470979] [111.07502021] [2.58769816] 
[0.56520799] [1.0685165] [1.56076853] [2.07782688] [2.60389456] [3.38926515] [4.33923678] [4.98646843] [5.65867202] [6.46498366] [7.47365504] [8.48457267] [10.18256548] [12.78175878] [15.57944415] [20.30103673] [29.47279333] [51.46354251] [74.9404743] [105.5212692] [2.45831325] 
[0.53694759] [1.01509067] [1.4827301] [1.97393554] [2.47369983] [3.21980189] [4.12227494] [4.73714501] [5.37573842] [6.14173448] [7.09997229] [8.06034403] [9.6734372] [12.14267084] [14.80047194] [19.28598489] [27.99915366] [48.89036538] [71.19345059] [100.24520574] [2.33539759] 
[0.51010021] [0.96433614] [1.4085936] [1.87523876] [2.35001484] [3.0588118] [3.91616119] [4.50028776] [5.1069515] [5.83464776] [6.74497367] [7.65732683] [9.18976534] [11.5355373] [14.06044835] [18.32168565] [26.59919598] [46.44584712] [67.63377806] [95.23294545] [2.21862771] 
[0.4845952] [0.91611933] [1.33816392] [1.78147682] [2.23251409] [2.90587121] [3.72035313] [4.27527337] [4.85160393] [5.54291537] [6.40772499] [7.27446049] [8.73027708] [10.95876044] [13.35742593] [17.40560136] [25.26923618] [44.12355476] [64.25208915] [90.47129818] [2.10769632] 
[0.46036544] [0.87031337] [1.27125572] [1.69240298] [2.12088839] [2.76057765] [3.53433548] [4.0615097] [4.60902373] [5.2657696] [6.08733874] [6.91073747] [8.29376322] [10.41082241] [12.68955463] [16.5353213] [24.00577437] [41.91737702] [61.0394847] [85.94773327] [2.00231151] 
[0.43734717] [0.8267977] [1.20769294] [1.60778283] [2.01484397] [2.62254876] [3.3576187] [3.85843422] [4.37857254] [5.00248112] [5.7829718] [6.56520059] [7.87907506] [9.89028129] [12.0550769] [15.70855523] [22.80548565] [39.82150817] [57.98751046] [81.6503466] [1.90219593] 
[0.41547981] [0.78545781] [1.14730829] [1.52739369] [1.91410177] [2.49142133] [3.18973777] [3.66551251] [4.15964392] [4.75235706] [5.49382321] [6.23694056] [7.48512131] [9.39576723] [11.45232306] [14.92312747] [21.66521137] [37.83043276] [55.08813494] [77.56782927] [1.80708613] 
[0.39470582] [0.74618492] [1.08994288] [1.45102401] [1.81839668] [2.36685026] [3.03025088] [3.48223688] [3.95166172] [4.51473921] [5.21913205] [5.92509353] [7.11086524] [8.92597887] [10.8797069] [14.1769711] [20.5819508] [35.93891112] [52.33372819] [73.68943781] [1.71673183] 
[0.37497053] [0.70887568] [1.03544573] [1.37847281] [1.72747685] [2.24850775] [2.87873834] [3.30812504] [3.75407863] [4.28900225] [4.95817545] [5.62883886] [6.75532198] [8.47967992] [10.33572156] [13.46812254] [19.55285326] [34.14196557] [49.71704178] [70.00496592] [1.63089524] 
[0.356222] [0.67343189] [0.98367345] [1.30954917] [1.64110301] [2.13608236] [2.73480142] [3.14271879] [3.5663747] [4.07455214] [4.71026668] [5.34739691] [6.41755588] [8.05569593] [9.81893548] [12.79471641] [18.5752106] [32.43486729] [47.23118969] [66.50471762] [1.54935047] 
[0.3384109] [0.6397603] [0.93448977] [1.24407171] [1.55904786] [2.02927824] [2.59806135] [2.98558285] [3.38805597] [3.87082453] [4.47475334] [5.08002707] [6.09667809] [7.65291113] [9.32798871] [12.15498059] [17.64645007] [30.81312392] [44.86963021] [63.17948174] [1.47188295] 
[0.32149035] [0.60777228] [0.88776528] [1.18186812] [1.48109546] [1.92781433] [2.46815828] [2.8363037] [3.21865317] [3.6772833] [4.25101568] [4.82602572] [5.79184418] [7.27026557] [8.86158927] [11.54723156] [16.76412756] [29.27246773] [42.6261487] [60.02050766] [1.3982888] 
[0.30541584] [0.57738367] [0.84337702] [1.12277472] [1.40704069] [1.83142361] [2.34475037] [2.69448852] [3.05772051] [3.49341914] [4.03846489] [4.58472443] [5.50225197] [6.9067523] [8.41850981] [10.96986999] [15.92592118] [27.80884434] [40.49484126] [57.01948227] [1.32837436] 
